ENTIDAD;PROVINCIA;PÁGINA WEB 
ASOCIACIÓN ARRAIANAS;A CORUÑA;https://www.arraianas.org/es  
ASOCIACIÓN DE MOVILIDAD HUMANA;A CORUÑA;https://mhumana.org/  
ASOCIACIÓN PARA A PROMOCIÓN SOCIAL E A INSERCIÓN LABORAL PLATAFORMA POLO EMPREGO;A CORUÑA;https://www.plataformapoloemprego. org/
ONG MESTURA;A CORUÑA;https://www.ongmestura.es/
PATRONATO CONCEPCIÓN ARENAL;A CORUÑA;  
SOS RACISMO GALICIA;A CORUÑA;https://sosracismo.eu/sos-racismogalicia/  
VIRAVENTOS;A CORUÑA;https://viraventos.org/   
ASOCIACIÓN PARA LA INTEGRACIÓN SOCIAL/ALIETXEA;ÁLABA / ARABA;
IRSEARABA S.COOP;ÁLABA / ARABA;https://www.irsearaba.eus/
ASOCIACIÓN DE REINSERCIÓN SOCIAL SARTU-ÁLAVA;ÁLAVA / ARABA;https://alava.sartu.net
ASOCIACIÓN KUÉNTAME ATENCIÓN CENTRADA EN LA PERSONA;ÁLAVA / ARABA;https://kuentame.weebly.com/
ASOCIACIÓN POR EL DESARROLLO SOSTENIBLE DE ALBACETE;ALBACETE;https://adesalbacete.wordpress.com/
ASOCIACIÓN ALMERÍA ACOGE;ALMERÍA;https://www.almeriaacoge.org/
ASOCIACIÓN AT-TAWBA;ALMERÍA;https://at-tawba.org/
ASOCIACIÓN DE MUJERES LATRÉBEDE;ALMERÍA;https://latrebede.wordpress.com   
COAG ALMERÍA;ALMERÍA;https://coagalmeria.com/  
HERMANAS OBLATAS DEL STSMO REDENTOR;ALMERÍA;https://hermanasoblatas.org/  
HUMANITARIOS SIN FRONTERAS;ALMERÍA;https://humanitariossinfronteras.com/
ASOCIACIÓN MUYERES PACHAMAMA;ASTURIAS;https://calala.org/proyecto-fondo-radix/asociacion-muyeres-pachamama/
XEGA (COLECTIVO LGTBIAQ+ DE ASTURIAS);ASTURIAS;https://www.xega.org/  
FUNDACIÓN RUY LÓPEZ;BADAJOZ;https://fruylopez.blogspot.com/   
MOVIMIENTO DE MUJERES MIGRANTES DE EXTREMADURA;BADAJOZ;https://lasmigrantas.org/
ASOCIACIÓN CATNOVA;BARCELONA;https://www.catnova.cat/
ASOCIACIÓN MUJERES PALANTE;BARCELONA;https://www.mujerespalante.org/  
ASSOCIACIÓ DE VEÏNS LA FLORIDA;BARCELONA;https://www.instagram.com/avivlaflorida/
ASSOCIACIÓ NOVES VIES;BARCELONA;https://www.novesvies.com/   
FUNDACIO CIUTADANIA MULTICULTURAL-MESCLADIS;BARCELONA;https://mescladis-org.b.iwith.org/es/
FUNDACIÓ MOLÍ D'EN PUIGVERT;BARCELONA; https://www.fundaciomoli.org/
FUNDACIÓ PRIVADA GUNÉ;BARCELONA;https://fundaciogune.org/  
FUNDACIÓN INDIAN CULTURE CENTRE;BARCELONA;https://culturaindia.cat/es/   
FUNDACIÓN PRIVADA FICAT;BARCELONA;https://www.ficat.org/es/   
FUNDACIÓN ÀMBIT PREVENCIÓ;BARCELONA;https://fambitprevencio.org/   
LAFUNDICIO, SCCL;BARCELONA;https://lafundicio.net/  
MUJERES UNIDAS ENTRE TIERRAS;BARCELONA;https://mujeresunidasentretierras.org/
SINDIHOGAR;BARCELONA;https://sindihogar.org/
ASOCIACIÓN BAIZARA;BIZKAIA;https://baizara.org/   
ASOCIACIÓN CLARETIANA PARA EL DESARROLLO - HUMANO SORTARAZI;BIZKAIA;https://sortarazi.org/
ASOCIACIÓN DE MUJERES HEGOAK ETA SUSTRAIAK/ALAS Y RAÍCES;BIZKAIA;http://https://alasyraicesbilbao.org/
ASOCIACIÓN DE COLOMBIANOS Y COLOMBIANAS EN EL PAÍS VASCO;BIZKAIA;https://asocolvas.es/
ASOCIACIÓN JORGE ADOLFO FREYTTER ROMERO;BIZKAIA;https://www.freytter.eus/   
ASOCIACIÓN MUJERES CON VOZ;BIZKAIA;https://mujeresyvoces.blogspot.com/ 
ASOCIACIÓN SAN NIKOLAS ZABALIK;BIZKAIA;https://www.sannikolaszabalik.wordpr ess.com
CÁRITAS DIOCESANA DE BILBAO;BIZKAIA;https://www.caritasbi.org/   
FUNDACIÓN CLARET ENEA;BIZKAIA;https://claretenea.org/   
FUNDACIÓN HARRIBIDE;BIZKAIA;https://harribide.org/es/inicio-4/  
FUNDACIÓN SOCIAL IGNACIO ELLACURIA;BIZKAIA;https://fundacionellacuria.org/  
GAZTAROA SARTU KOOP ELK DE INICIATIVA SOCIAL;BIZKAIA;https://gaztaroa-sartu.eus/
IZANGAI ELKARTEA;BIZKAIA;https://www.izangai.org/
ZABALTZEN-SARTU KOOP. ELK.;BIZKAIA;https://zabaltzensartu.org/es/  
ZEHAR-ERREFUXIATUEKIN;BIZKAIA;https://zehar.eus/  
ALGECIRAS ACOGE;CÁDIZ;https://algeciras-acoge.org/  
ASOC OLEUM CHICLANA IBN;CÁDIZ;https://www.oleumcomunidadcristiana.com/
ASOCIACIÓN DE FAMILIAS SOLIDARIAS PARA EL DESARROLLO;CÁDIZ;https://familiasolidarias.org/
CEAIN (CENTRO DE ACOGIDA DE INMIGRANTES);CÁDIZ;https://ceain.acoge.org/
RED DE ACOGIDA DEL PUERTO DE SANTA ARÍA;CÁDIZ;https://www.facebook.com/RedAcogiaElPuerto/
ASOCIACIÓN SOMCUSTÒDIA;CASTELLÓN /CASTELLÓ;https://somcustodia.org/  
CENTRE DE DESENVOLUPAMENT RURAL ALT MAESTRAT;CASTELLÓN /CASTELLÓ;https://www.cdraltmaestrat.org/
ASOCIACIÓN PRO INMIGRANTES DE CÓRDOBA;CÓRDOBA;https://apic-acoge.org/
REFUGIADOS BIENVENIDOS ESPAÑA;CÓRDOBA;https://refugees-welcome.es/   
ASSOCIACIÓ COORDINADORA OBRIM FRONTERES;GIRONA;https://coordinadoraobrimfronteres.or g/
ASSOCIACIÓ ECCIT;GIRONA;https://www.eccit.org/
ASSOCIACIÓ SOCIAL PROJECT 4.0;GIRONA;http://socialproject.cat/   
ASSOCIACIÓ SOCIOEDUCATIVA NOUSOL;GIRONA;https://nousol.org/   
FUNDACIÓ MIFAS;GIRONA;https://www.mifas.cat/ca/  
ASOCIACIÓN AMIGOS DE MARRUECOS;GRANADA;https://amigosdemarruecos.org/
ASOCIACIÓN RADIOCLUB CERES;GRANADA; 
CENTRO SOCIOCULTURAL ZAIDIN;GRANADA;https://csczaidin.wordpress.com/
GRANADA ACOGE;GRANADA;https://www.granadaacoge.com/
ASOCIACIÓN ARRATS;GUIPUZKOA;https://www.arrats.org/  
CÁRITAS DIOCESANA DE SAN SEBASTIÁN;GUIPUZKOA;https://www.caritasgipuzkoa.org/es/ini cio
HAURRALDE FUNDAZIOA;GUIPUZKOA;https://haurraldefundazioa.org/  
MALEN ETXEA, ASOCIACIÓN DE MUJERES INMIGRANTES;GUIPUZKOA;https://malenetxea.org/
TXINGUDIKO ELKARTE FEMINISTA;GUIPUZKOA;https://www.irun.org/es/entidades-servicios/25-asociacion-txingudiko-elkarte-feminista?iden=7334
ASOCIACIÓN NUEVA CIUDADANÍA POR LA INTERCULTURALIDAD;HUELVA;https://asnuci.org/inicio
FUNDACIÓN EUROPEA PARA LA COOPERACIÓN NORTE SUR;HUELVA;https://fecons.org/
HUELVA ACOGE;HUELVA;https://huelvaacoge.org/
